stationId,zipcode,lat,long
403,10003,40.72502876,-73.99069656
405,10014,40.739323,-74.008119
406,11201,40.69512845,-73.99595065
408,10002,40.71076228,-73.99400398
410,10002,40.72066442,-73.98517977
411,10009,40.72228087,-73.97668709
412,10002,40.7158155,-73.99422366
415,10005,40.7047177,-74.00926027
416,11205,40.68753406,-73.97265183
417,10007,40.71291224,-74.01020234
418,11201,40.70224,-73.982578
419,11205,40.69580705,-73.97355569
420,11238,40.68764484,-73.96968902
421,11205,40.69573398,-73.97129668
422,10019,40.770513,-73.988038
423,10019,40.76584941,-73.98690506
426,10281,40.71754834,-74.01322069
427,10004,40.701907,-74.013942
432,10009,40.72621788,-73.98379855
434,10011,40.74317449,-74.00366443
435,10011,40.74173969,-73.99415556
436,11216,40.68216564,-73.95399026
437,11216,40.6809833854,-73.9500479759
438,10003,40.72779126,-73.98564945
439,10003,40.7262807,-73.98978041
440,10017,40.75255434,-73.97282625
441,10022,40.756014,-73.967416
442,10001,40.746647,-73.993915
443,11249,40.70853074,-73.96408963
445,10009,40.72740794,-73.98142006
446,10001,40.74487634,-73.99529885
447,10019,40.76370739,-73.9851615
448,10018,40.75660359,-73.9979009
450,10019,40.76227205,-73.98788205
453,10011,40.74475148,-73.99915362
454,10022,40.75455731,-73.96592976
455,10017,40.75001986,-73.96905301
456,10022,40.7597108,-73.97402311
458,10001,40.751396,-74.005226
459,10011,40.746745,-74.007756
460,11249,40.71285887,-73.96590294
461,10003,40.73587678,-73.98205027
462,10011,40.74691959,-74.00451887
464,10022,40.75934501,-73.96759673
465,10036,40.75513557,-73.98658032
466,10010,40.74395411,-73.99144871
467,11217,40.68312489,-73.97895137
468,10019,40.7652654,-73.98192338
469,10019,40.76344058,-73.98268129
470,10011,40.74345335,-74.00004031
471,11211,40.71286844,-73.95698119
472,10016,40.7457121,-73.98194829
473,10002,40.72110063,-73.9919254
474,10016,40.7451677,-73.98683077
476,10016,40.74394314,-73.97966069
477,10018,40.75640548,-73.9900262
478,10036,40.76030096,-73.99884222
479,10036,40.76019252,-73.9912551
480,10019,40.76669671,-73.99061728
481,11249,40.71260486,-73.96264403
482,10011,40.73935542,-73.99931783
483,10003,40.73223272,-73.98889957
484,10036,40.75500254,-73.98014437
485,10018,40.75038009,-73.98338988
486,10001,40.7462009,-73.98855723
487,10009,40.73314259,-73.97573881
489,10001,40.75066386,-74.00176802
490,10001,40.751551,-73.993934
491,10010,40.74096374,-73.98602213
492,10001,40.75019995,-73.99093085
493,10036,40.7568001,-73.98291153
494,10001,40.74734825,-73.99723551
495,10036,40.76269882,-73.99301222
496,10003,40.73726186,-73.99238967
497,10003,40.73704984,-73.99009296
499,10023,40.76915505,-73.98191841
500,10019,40.76228826,-73.98336183
501,10016,40.744219,-73.97121214
502,10002,40.714215,-73.981346
503,10010,40.73827428,-73.98751968
504,10009,40.73221853,-73.98165557
505,10001,40.74901271,-73.98848395
507,10010,40.73912601,-73.97973776
508,10036,40.76341379,-73.99667444
509,10011,40.7454973,-74.00197139
513,10019,40.768254,-73.988639
514,10018,40.76087502,-74.00277668
515,10036,40.76009437,-73.99461843
516,10017,40.75206862,-73.96784384
517,10017,40.751581,-73.97791
518,10016,40.74780373,-73.9734419
519,10017,40.751873,-73.977706
520,10019,40.75992262,-73.97648516
522,10022,40.75714758,-73.97207836
523,10018,40.75466591,-73.99138152
525,10001,40.75594159,-74.0021163
526,10016,40.74765947,-73.98490707
528,10016,40.74290902,-73.97706058
529,10036,40.7575699,-73.99098507
530,10019,40.77149671054441,-73.99046033620834
531,10002,40.71893904,-73.99266288
532,11211,40.710451,-73.960876
533,10018,40.75299641,-73.98721619
534,10004,40.70255065,-74.0127234
536,10016,40.74144387,-73.97536082
539,11249,40.71534825,-73.96024116
540,10016,40.74311555376486,-73.98215353488922
545,10010,40.736502,-73.97809472
546,10016,40.74444921,-73.98303529
3002,10280,40.711512,-74.015756
3016,11249,40.72036775298455,-73.96165072917938
3041,11213,40.67890679,-73.94142771
3042,11233,40.6794268,-73.9298911
3043,11233,40.6814598,-73.934903
3044,11216,40.6800105,-73.938475
3046,11216,40.682601,-73.938037
3047,11216,40.6823687,-73.944118
3048,11216,40.68402,-73.94977
3049,11238,40.68488,-73.96304
3050,11221,40.6851532,-73.94111
3052,11221,40.686312,-73.935775
3053,11216,40.6900815,-73.947915
3054,11221,40.6894932,-73.942061
3055,11216,40.6883337,-73.950916
3056,11205,40.69072549,-73.95133465
3057,11221,40.69128258,-73.9452416
3058,11221,40.69237074,-73.93705428
3059,11206,40.6933982,-73.939877
3060,11206,40.69425403,-73.94626915
3061,11206,40.69622937,-73.94371094
3062,11206,40.69539817,-73.94954908
3063,11206,40.69527008,-73.95238108
3064,11206,40.69681963,-73.93756926
3065,11206,40.70029511,-73.95032283
3066,11206,40.69957608,-73.94708417
3067,11206,40.7016657,-73.9437303
3068,11206,40.7031724,-73.940636
3069,11206,40.70411791,-73.94818595
3070,11206,40.70510918,-73.94407279
3071,11206,40.70538077,-73.94976519
3072,11206,40.70583339,-73.94644578
3074,11206,40.70767788,-73.94016171
3075,11211,40.70708701,-73.95796783
3076,11206,40.70870368,-73.9448625
3077,11206,40.70877084,-73.95095259
3078,11211,40.70924826276157,-73.96063148975372
3080,11211,40.70934,-73.95608
3081,11211,40.711863,-73.944024
3082,11211,40.71167351,-73.95141312
3083,11211,40.71247661,-73.94100005
3085,11211,40.71469,-73.95739
3086,11211,40.715143,-73.944507
3087,11211,40.71413311,-73.95234386
3088,11211,40.7160751,-73.952029
3092,11249,40.7190095,-73.95852515
3093,11249,40.71745169,-73.95850939
3094,11211,40.7169811,-73.94485918
3095,11222,40.71929301,-73.94500379
3096,11211,40.71924,-73.95242
3100,11222,40.724812564400175,-73.94752621650696
3101,11249,40.72079821,-73.95484712
3102,11222,40.72179134,-73.9504154
3105,11249,40.724055,-73.955736
3106,11222,40.72325,-73.94308
3107,11211,40.72311651,-73.95212324
3108,11222,40.72557,-73.94434
3109,11222,40.72606,-73.95621
3110,11222,40.72708584,-73.95299117
3112,11222,40.72906,-73.95779
3113,11222,40.73026,-73.95394
3115,11222,40.73232194,-73.9550858
3116,11222,40.73266,-73.95826
3117,11222,40.73564,-73.95866
3118,11222,40.73555,-73.95284
3119,11101,40.74232744,-73.95411749
3121,11101,40.74524768,-73.94733276
3122,11101,40.744363287066875,-73.9558732509613
3123,11101,40.74469738,-73.93540375
3124,11101,40.74731,-73.95451
3125,11101,40.74708586,-73.94977234
3126,11101,40.74718234,-73.9432635
3127,11101,40.74966,-73.9521
3128,11101,40.75052534,-73.94594845
3129,11101,40.75110165,-73.94073717
3130,11101,40.75325964,-73.94335788
3131,10065,40.76712840349542,-73.96224617958069
3132,10022,40.76350532,-73.97109243
3134,10065,40.76312584,-73.96526895
3135,10021,40.77112927,-73.95772297
3136,10065,40.766368,-73.971518
3137,10021,40.77282817,-73.96685276
3139,10021,40.77118287540658,-73.96409422159195
3140,10075,40.77140426,-73.9535166
