zoneId,zipcode,lat,long
1,07114,40.69024330079122,-74.17427027586201
2,11693,40.612153596076965,-73.8176409821366
3,10469,40.86423530250795,-73.84649806104987
4,10009,40.72383052657177,-73.97524857156981
5,10312,40.556643201026326,-74.18989482724845
6,10305,40.601113569043214,-74.0717760080586
7,11103,40.76139930364133,-73.91944918177337
8,11102,40.77815304208606,-73.92339724491703
9,11358,40.75024534184869,-73.79021582476057
10,11434,40.67785342518253,-73.79036263422428
11,11214,40.60268881435531,-74.00909535704783
12,10004,40.70207281289208,-74.01547618216878
13,10280,40.709379665306805,-74.01734553977671
14,11209,40.62513714750438,-74.02923120427069
15,11359,40.79098585013444,-73.77860811796933
16,11361,40.76276173589172,-73.76797050263019
17,11206,40.69232436057121,-73.95037611257015
18,10458,40.868896380333986,-73.88942025841725
19,11427,40.73458371702195,-73.72890392110558
20,10458,40.85888614267855,-73.88538139406116
21,11214,40.59682026039351,-73.99052447260864
22,11214,40.60869231717423,-73.99582227154639
23,10314,40.60460318733797,-74.1905085216163
24,10025,40.80302969926359,-73.96790001268282
25,11217,40.68655003614066,-73.98599382004404
26,11219,40.63065421644722,-73.98798770670535
27,11697,40.56129471058941,-73.89082953078723
28,11432,40.71229420691773,-73.80705661929345
29,11235,40.579912470148564,-73.96051031068913
30,11693,40.60285364870916,-73.82290078059216
31,10462,40.86032861188665,-73.87514910301789
32,10467,40.86215745324995,-73.86548251440804
33,11201,40.696911705518474,-73.99549579259045
34,11205,40.702675529665996,-73.97418335360175
35,11212,40.664002895376434,-73.91038995594069
36,11237,40.69922742205296,-73.91686447415486
37,11221,40.69542941740671,-73.92388599278866
38,11411,40.69504241379072,-73.73552421889814
39,11236,40.64247260596266,-73.89170687187615
40,11231,40.67784780933775,-73.9966072155764
41,10026,40.80326431094891,-73.9506148877499
42,10039,40.826353769557855,-73.93708313588557
43,10024,40.78163479777432,-73.96645112556912
44,10309,40.52992676375288,-74.23736006212705
45,10038,40.711549143135066,-73.99805341191961
46,10464,40.8502614642879,-73.78585186376813
47,10457,40.84313962984187,-73.90053671614959
48,10036,40.761517073360864,-73.99073545486267
49,11205,40.690191934458845,-73.96139010713392
50,10019,40.767802987209514,-73.99747878870527
51,10475,40.875592402775304,-73.83045645958173
